complaint_id,complaint_text,district,local_body_type,local_body_name,ward,categories,priority_score,assigned_department,status,created_at,updated_at
CMP_00041,"We are facing difficulties in our area and need help. there are frequent power cuts happening throughout the day we are facing continuous outages without any notice Because of this, people are facing a lot of inconvenience in daily life We hope this issue will be addressed at the earliest.",Thrissur,Municipality,Chalakudy,20,electricity,63,KL08_ELE,Forwarded,08-05-2025,12-05-2025
CMP_00042,"I would like to report a problem that has been ongoing for some time. many parts of the street are broken and causing trouble for vehicles people are finding it difficult to travel due to poor road condition As a result, people are facing a lot of inconvenience in daily life We hope this issue will be addressed at the earliest.",Alappuzha,Municipality,Haripad,5,"road,revenue",57,"KL04_ROA,KL04_REV",Resolved,20-12-2025,02-01-2026
CMP_00043,"I would like to report a problem that has been ongoing for some time. Due to this issue, many families are struggling because of this situation I kindly request the concerned authorities to take necessary action as soon as possible.",Thrissur,Corporation,Thrissur,17,revenue,58,KL08_REV,Resolved,10-11-2025,27-11-2025
CMP_00044,"We are facing difficulties in our area and need help. electricity supply is very unreliable in this area we are facing continuous outages without any notice Because of this, many families are struggling because of this situation We hope this issue will be addressed at the earliest.",Thiruvananthapuram,Grama Panchayath,Anchuthengu,14,electricity,68,KL01_ELE,Forwarded,25-11-2025,26-11-2025
CMP_00045,"I would like to report a problem that has been ongoing for some time. we are not getting proper water supply for the past few days sometimes there is no water at all during important hours Due to this issue, many families are struggling because of this situation Please look into this matter urgently and resolve it.",Kasaragod,Grama Panchayath,Uppala,6,water,59,KL14_WAT,Submitted,19-12-2025,19-12-2025
CMP_00046,"This complaint is regarding a serious problem we are facing. we are not getting proper water supply for the past few days water availability has reduced significantly in our locality As a result, it is becoming difficult for residents to manage routine activities I kindly request the concerned authorities to take necessary action as soon as possible.",Kasaragod,Municipality,Nileshwar,10,water,59,KL14_WAT,Submitted,22-03-2025,22-03-2025
CMP_00047,"I am writing to bring attention to an issue in our locality. Due to this issue, it is becoming difficult for residents to manage routine activities We hope this issue will be addressed at the earliest.",Kozhikode,Grama Panchayath,Nadapuram,1,health,53,KL11_HEA,Resolved,13-10-2025,22-10-2025
CMP_00048,"I am writing to bring attention to an issue in our locality. Because of this, many families are struggling because of this situation Please look into this matter urgently and resolve it.",Kottayam,Municipality,Kottayam,13,health,71,KL05_HEA,Forwarded,15-07-2025,19-07-2025
CMP_00049,"We are facing difficulties in our area and need help. water availability has reduced significantly in our locality sometimes there is no water at all during important hours Due to this issue, people are facing a lot of inconvenience in daily life Immediate action would be highly appreciated.",Kottayam,Municipality,Ettumanoor,20,"revenue,water",59,"KL05_REV,KL05_WAT",Submitted,07-06-2025,07-06-2025
CMP_00050,"I would like to report a problem that has been ongoing for some time. Due to this issue, it is becoming difficult for residents to manage routine activities We hope this issue will be addressed at the earliest.",Kannur,Grama Panchayath,Keezhallur,8,"health,revenue",66,"KL13_HEA,KL13_REV",Forwarded,25-02-2026,26-02-2026
CMP_00051,"I am writing to bring attention to an issue in our locality. the situation has become worse especially during rainy days many parts of the street are broken and causing trouble for vehicles As a result, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Pathanamthitta,Municipality,Pandalam,9,road,54,KL03_ROA,Resolved,02-11-2025,29-11-2025
CMP_00052,We are facing difficulties in our area and need help. we are not getting proper water supply for the past few days sometimes there is no water at all during important hours This has led to a situation where this is affecting health and safety of the people We hope this issue will be addressed at the earliest.,Palakkad,Municipality,Chittur-Thathamangalam,7,"water,revenue",62,"KL09_WAT,KL09_REV",Forwarded,12-06-2025,17-06-2025
CMP_00053,This complaint is regarding a serious problem we are facing. residents are struggling to manage daily household activities water availability has reduced significantly in our locality This has led to a situation where people are facing a lot of inconvenience in daily life We hope this issue will be addressed at the earliest.,Pathanamthitta,Grama Panchayath,Perumkadavila,18,water,67,KL03_WAT,Submitted,10-01-2026,10-01-2026
CMP_00054,"I would like to report a problem that has been ongoing for some time. As a result, people are facing a lot of inconvenience in daily life We hope this issue will be addressed at the earliest.",Thrissur,Grama Panchayath,Anakkara,19,health,63,KL08_HEA,Forwarded,13-06-2025,18-06-2025
CMP_00055,"This complaint is regarding a serious problem we are facing. As a result, this is affecting health and safety of the people We hope this issue will be addressed at the earliest.",Kannur,Municipality,Thalassery,6,health,63,KL13_HEA,Submitted,08-03-2025,08-03-2025
CMP_00056,I would like to report a problem that has been ongoing for some time. This has led to a situation where it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.,Kottayam,Grama Panchayath,Manimala,11,health,61,KL05_HEA,Forwarded,08-05-2025,12-05-2025
CMP_00057,"We are facing difficulties in our area and need help. we are facing continuous outages without any notice there are frequent power cuts happening throughout the day As a result, people are facing a lot of inconvenience in daily life I kindly request the concerned authorities to take necessary action as soon as possible.",Alappuzha,Municipality,Haripad,13,"electricity,health",70,"KL04_ELE,KL04_HEA",Forwarded,01-12-2025,04-12-2025
CMP_00058,"I would like to report a problem that has been ongoing for some time. water availability has reduced significantly in our locality sometimes there is no water at all during important hours the area has become very unhygienic and smells bad sanitation services are not working properly Due to this issue, many families are struggling because of this situation We hope this issue will be addressed at the earliest.",Palakkad,Municipality,Pattambi,17,"water,waste",62,"KL09_WAT,KL09_WAS",Resolved,25-02-2026,20-03-2026
CMP_00059,"This complaint is regarding a serious problem we are facing. garbage has not been collected for many days sanitation services are not working properly Because of this, it is becoming difficult for residents to manage routine activities We hope this issue will be addressed at the earliest.",Wayanad,Grama Panchayath,Thavinhal,6,"health,waste",39,"KL12_HEA,KL12_WAS",Resolved,30-05-2025,17-06-2025
CMP_00060,"I am writing to bring attention to an issue in our locality. waste is piling up near houses and roadsides the area has become very unhygienic and smells bad Due to this issue, people are facing a lot of inconvenience in daily life I kindly request the concerned authorities to take necessary action as soon as possible.",Kottayam,Grama Panchayath,Karoor,3,"waste,health",47,"KL05_WAS,KL05_HEA",Forwarded,02-03-2025,04-03-2025
CMP_00061,"I am writing to bring attention to an issue in our locality. residents are struggling to manage daily household activities we are not getting proper water supply for the past few days sanitation services are not working properly the area has become very unhygienic and smells bad Because of this, this is affecting health and safety of the people We hope this issue will be addressed at the earliest.",Malappuram,Grama Panchayath,Thirunavaya,7,"water,waste",65,"KL10_WAT,KL10_WAS",Resolved,14-07-2025,08-08-2025
CMP_00062,"We are facing difficulties in our area and need help. we are facing continuous outages without any notice electricity supply is very unreliable in this area Because of this, this is affecting health and safety of the people We hope this issue will be addressed at the earliest.",Ernakulam,Corporation,Kochi,6,electricity,41,KL07_ELE,Resolved,17-05-2025,28-05-2025
CMP_00063,"I would like to report a problem that has been ongoing for some time. we are not getting proper water supply for the past few days residents are struggling to manage daily household activities there are frequent power cuts happening throughout the day electricity supply is very unreliable in this area Because of this, it is becoming difficult for residents to manage routine activities Please look into this matter urgently and resolve it.",Ernakulam,Grama Panchayath,Ayavana,13,"water,electricity",47,"KL07_WAT,KL07_ELE",Resolved,23-07-2025,29-07-2025
CMP_00064,"I would like to report a problem that has been ongoing for some time. the situation has become worse especially during rainy days people are finding it difficult to travel due to poor road condition Because of this, people are facing a lot of inconvenience in daily life We hope this issue will be addressed at the earliest.",Malappuram,Municipality,Perinthalmanna,14,"road,revenue",40,"KL10_ROA,KL10_REV",Forwarded,14-04-2025,15-04-2025
CMP_00065,"I am writing to bring attention to an issue in our locality. garbage has not been collected for many days waste is piling up near houses and roadsides Because of this, people are facing a lot of inconvenience in daily life I kindly request the concerned authorities to take necessary action as soon as possible.",Thiruvananthapuram,Municipality,Nedumangad,18,waste,63,KL01_WAS,Submitted,22-09-2025,22-09-2025
CMP_00066,"I would like to report a problem that has been ongoing for some time. garbage has not been collected for many days waste is piling up near houses and roadsides Due to this issue, many families are struggling because of this situation Immediate action would be highly appreciated.",Kannur,Municipality,Mattannur,19,"revenue,waste",53,"KL13_REV,KL13_WAS",Resolved,22-11-2025,12-12-2025
CMP_00067,"We are facing difficulties in our area and need help. the situation has become worse especially during rainy days the roads in our area have become extremely damaged with deep potholes As a result, many families are struggling because of this situation We hope this issue will be addressed at the earliest.",Kannur,Grama Panchayath,Kottayam-Malabar,4,road,45,KL13_ROA,Resolved,02-02-2026,16-02-2026
CMP_00068,"I would like to report a problem that has been ongoing for some time. garbage has not been collected for many days sanitation services are not working properly As a result, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Kottayam,Municipality,Changanassery,1,waste,43,KL05_WAS,Forwarded,09-05-2025,13-05-2025
CMP_00069,"I am writing to bring attention to an issue in our locality. sanitation services are not working properly garbage has not been collected for many days water availability has reduced significantly in our locality sometimes there is no water at all during important hours Due to this issue, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Palakkad,Municipality,Cherpulassery,11,"waste,water",67,"KL09_WAS,KL09_WAT",Submitted,11-01-2026,11-01-2026
CMP_00070,"I would like to report a problem that has been ongoing for some time. sometimes there is no water at all during important hours we are not getting proper water supply for the past few days Due to this issue, people are facing a lot of inconvenience in daily life We hope this issue will be addressed at the earliest.",Ernakulam,Municipality,Aluva,4,water,55,KL07_WAT,Forwarded,02-04-2025,07-04-2025
CMP_00071,"We are facing difficulties in our area and need help. the situation has become worse especially during rainy days the roads in our area have become extremely damaged with deep potholes As a result, this is affecting health and safety of the people Please look into this matter urgently and resolve it.",Kollam,Corporation,Kollam,1,"road,revenue",65,"KL02_ROA,KL02_REV",Forwarded,26-05-2025,30-05-2025
CMP_00072,"I would like to report a problem that has been ongoing for some time. we are facing continuous outages without any notice voltage fluctuations are damaging our home appliances the area has become very unhygienic and smells bad garbage has not been collected for many days Due to this issue, this is affecting health and safety of the people Please look into this matter urgently and resolve it.",Kottayam,Grama Panchayath,Ramapuram,13,"electricity,waste",49,"KL05_ELE,KL05_WAS",Resolved,01-05-2025,31-05-2025
CMP_00073,"We are facing difficulties in our area and need help. waste is piling up near houses and roadsides sanitation services are not working properly Because of this, people are facing a lot of inconvenience in daily life Immediate action would be highly appreciated.",Ernakulam,Municipality,Muvattupuzha,9,waste,43,KL07_WAS,Forwarded,15-02-2026,16-02-2026
CMP_00074,"I am writing to bring attention to an issue in our locality. the area has become very unhygienic and smells bad sanitation services are not working properly Because of this, this is affecting health and safety of the people Please look into this matter urgently and resolve it.",Thrissur,Grama Panchayath,Madakkathara,14,waste,43,KL08_WAS,Resolved,08-08-2025,26-08-2025
CMP_00075,"We are facing difficulties in our area and need help. many parts of the street are broken and causing trouble for vehicles the roads in our area have become extremely damaged with deep potholes Due to this issue, it is becoming difficult for residents to manage routine activities I kindly request the concerned authorities to take necessary action as soon as possible.",Thrissur,Corporation,Thrissur,6,road,37,KL08_ROA,Submitted,14-07-2025,14-07-2025
CMP_00076,"We are facing difficulties in our area and need help. waste is piling up near houses and roadsides garbage has not been collected for many days As a result, many families are struggling because of this situation Immediate action would be highly appreciated.",Pathanamthitta,Municipality,Pandalam,10,waste,54,KL03_WAS,Resolved,18-02-2026,08-03-2026
CMP_00077,"I would like to report a problem that has been ongoing for some time. there are frequent power cuts happening throughout the day we are facing continuous outages without any notice Due to this issue, people are facing a lot of inconvenience in daily life Immediate action would be highly appreciated.",Palakkad,Grama Panchayath,Nelliyampathy,10,electricity,49,KL09_ELE,Forwarded,01-04-2025,05-04-2025
CMP_00078,"I would like to report a problem that has been ongoing for some time. voltage fluctuations are damaging our home appliances electricity supply is very unreliable in this area As a result, people are facing a lot of inconvenience in daily life Immediate action would be highly appreciated.",Idukki,Grama Panchayath,Kodikulam,2,"electricity,revenue",68,"KL06_ELE,KL06_REV",Resolved,17-12-2025,08-01-2026
CMP_00079,This complaint is regarding a serious problem we are facing. This has led to a situation where this is affecting health and safety of the people I kindly request the concerned authorities to take necessary action as soon as possible.,Idukki,Grama Panchayath,Thodupuzha (Rural),18,revenue,47,KL06_REV,Submitted,22-11-2025,22-11-2025
CMP_00080,"We are facing difficulties in our area and need help. Due to this issue, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Kannur,Corporation,Kannur,2,revenue,47,KL13_REV,Submitted,20-04-2025,20-04-2025
CMP_00081,"I would like to report a problem that has been ongoing for some time. As a result, this is affecting health and safety of the people Please look into this matter urgently and resolve it.",Kottayam,Municipality,Pala,10,health,64,KL05_HEA,Resolved,02-12-2025,28-12-2025
CMP_00082,We are facing difficulties in our area and need help. This has led to a situation where it is becoming difficult for residents to manage routine activities We hope this issue will be addressed at the earliest.,Kasaragod,Municipality,Nileshwar,4,health,59,KL14_HEA,Forwarded,13-02-2026,14-02-2026
CMP_00083,"I would like to report a problem that has been ongoing for some time. water availability has reduced significantly in our locality residents are struggling to manage daily household activities As a result, many families are struggling because of this situation Immediate action would be highly appreciated.",Ernakulam,Corporation,Kochi,7,water,67,KL07_WAT,Forwarded,06-11-2025,10-11-2025
CMP_00084,We are facing difficulties in our area and need help. garbage has not been collected for many days the area has become very unhygienic and smells bad This has led to a situation where people are facing a lot of inconvenience in daily life I kindly request the concerned authorities to take necessary action as soon as possible.,Kasaragod,Grama Panchayath,Mogral,4,waste,47,KL14_WAS,Resolved,16-02-2026,17-03-2026
CMP_00085,"I would like to report a problem that has been ongoing for some time. Due to this issue, it is becoming difficult for residents to manage routine activities I kindly request the concerned authorities to take necessary action as soon as possible.",Kottayam,Grama Panchayath,Vakathanam,18,health,61,KL05_HEA,Forwarded,12-07-2025,17-07-2025
CMP_00086,"We are facing difficulties in our area and need help. residents are struggling to manage daily household activities we are not getting proper water supply for the past few days Due to this issue, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Malappuram,Municipality,Manjeri,19,water,60,KL10_WAT,Submitted,21-12-2025,21-12-2025
CMP_00087,"This complaint is regarding a serious problem we are facing. the area has become very unhygienic and smells bad sanitation services are not working properly Due to this issue, people are facing a lot of inconvenience in daily life We hope this issue will be addressed at the earliest.",Ernakulam,Grama Panchayath,Ezhikkara,3,waste,43,KL07_WAS,Submitted,23-05-2025,23-05-2025
CMP_00088,"We are facing difficulties in our area and need help. the area has become very unhygienic and smells bad garbage has not been collected for many days electricity supply is very unreliable in this area we are facing continuous outages without any notice Because of this, people are facing a lot of inconvenience in daily life I kindly request the concerned authorities to take necessary action as soon as possible.",Idukki,Municipality,Thodupuzha,8,"waste,electricity",54,"KL06_WAS,KL06_ELE",Submitted,13-02-2026,13-02-2026
CMP_00089,"I am writing to bring attention to an issue in our locality. water availability has reduced significantly in our locality residents are struggling to manage daily household activities Due to this issue, it is becoming difficult for residents to manage routine activities We hope this issue will be addressed at the earliest.",Pathanamthitta,Municipality,Thiruvalla,16,"water,health",54,"KL03_WAT,KL03_HEA",Resolved,07-09-2025,12-09-2025
CMP_00090,"This complaint is regarding a serious problem we are facing. As a result, this is affecting health and safety of the people I kindly request the concerned authorities to take necessary action as soon as possible.",Kottayam,Grama Panchayath,Vakathanam,7,health,64,KL05_HEA,Submitted,01-01-2026,01-01-2026
CMP_00091,"We are facing difficulties in our area and need help. sanitation services are not working properly waste is piling up near houses and roadsides Because of this, many families are struggling because of this situation Please look into this matter urgently and resolve it.",Kottayam,Grama Panchayath,Vakathanam,11,"waste,revenue",53,"KL05_WAS,KL05_REV",Forwarded,27-09-2025,30-09-2025
CMP_00092,"I am writing to bring attention to an issue in our locality. Due to this issue, people are facing a lot of inconvenience in daily life We hope this issue will be addressed at the earliest.",Thiruvananthapuram,Grama Panchayath,Kulathummal,3,health,62,KL01_HEA,Forwarded,26-03-2025,31-03-2025
CMP_00093,"I am writing to bring attention to an issue in our locality. the roads in our area have become extremely damaged with deep potholes people are finding it difficult to travel due to poor road condition we are not getting proper water supply for the past few days residents are struggling to manage daily household activities Because of this, it is becoming difficult for residents to manage routine activities Immediate action would be highly appreciated.",Idukki,Municipality,Thodupuzha,20,"road,water",62,"KL06_ROA,KL06_WAT",Resolved,22-11-2025,19-12-2025
CMP_00094,I am writing to bring attention to an issue in our locality. we are not getting proper water supply for the past few days sometimes there is no water at all during important hours This has led to a situation where this is affecting health and safety of the people Immediate action would be highly appreciated.,Pathanamthitta,Municipality,Adoor,4,"water,revenue",70,"KL03_WAT,KL03_REV",Submitted,23-05-2025,23-05-2025
